[0.054s] Invoking command in '/home/pi/turtlebot3_ws/build/turtlebot3_msgs': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/pi/turtlebot3_ws/install/turtlebot3_teleop:/home/pi/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --build /home/pi/turtlebot3_ws/build/turtlebot3_msgs -- -j2 -l2
[0.330s] [  1%] Built target turtlebot3_msgs__cpp
[0.542s] [ 12%] Built target turtlebot3_msgs__rosidl_generator_c
[0.761s] [ 12%] Built target ament_cmake_python_symlink_turtlebot3_msgs
[0.929s] [ 24%] Built target turtlebot3_msgs__rosidl_typesupport_cpp
[1.165s] [ 35%] Built target turtlebot3_msgs__rosidl_typesupport_fastrtps_c
[1.324s] [ 46%] Built target turtlebot3_msgs__rosidl_typesupport_fastrtps_cpp
[1.567s] [ 58%] Built target turtlebot3_msgs__rosidl_typesupport_introspection_c
[1.779s] [ 69%] Built target turtlebot3_msgs__rosidl_typesupport_c
[1.930s] [ 81%] Built target turtlebot3_msgs__rosidl_typesupport_introspection_cpp
[2.480s] running egg_info
[2.480s] writing turtlebot3_msgs.egg-info/PKG-INFO
[2.480s] writing dependency_links to turtlebot3_msgs.egg-info/dependency_links.txt
[2.480s] writing top-level names to turtlebot3_msgs.egg-info/top_level.txt
[2.492s] reading manifest file 'turtlebot3_msgs.egg-info/SOURCES.txt'
[2.492s] writing manifest file 'turtlebot3_msgs.egg-info/SOURCES.txt'
[2.588s] [ 81%] Built target ament_cmake_python_build_turtlebot3_msgs_egg
[2.779s] [ 81%] Built target turtlebot3_msgs
[2.891s] [ 82%] Built target turtlebot3_msgs__py
[3.031s] [ 92%] Built target turtlebot3_msgs__rosidl_generator_py
[3.215s] [ 94%] Built target turtlebot3_msgs__rosidl_typesupport_fastrtps_c__pyext
[3.316s] [ 97%] Built target turtlebot3_msgs__rosidl_typesupport_introspection_c__pyext
[3.497s] [100%] Built target turtlebot3_msgs__rosidl_typesupport_c__pyext
[3.575s] Invoked command in '/home/pi/turtlebot3_ws/build/turtlebot3_msgs' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/pi/turtlebot3_ws/install/turtlebot3_teleop:/home/pi/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --build /home/pi/turtlebot3_ws/build/turtlebot3_msgs -- -j2 -l2
[3.575s] Invoking command in '/home/pi/turtlebot3_ws/build/turtlebot3_msgs': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/pi/turtlebot3_ws/install/turtlebot3_teleop:/home/pi/turtlebot3_ws/install/turtlebot3_example:/opt/ros/humble /usr/bin/cmake --install /home/pi/turtlebot3_ws/build/turtlebot3_msgs
[3.651s] -- Install configuration: ""
[3.652s] -- Execute custom install script
